,,,,,,,,,,,,
Term,Class Stat,Subject,Catalog#,Section,Class Title,Enrl Cap,Tot Enrl,Days,Mtg Start,Mtg End,Room,Name
1232,Cancelled,LIN, 101,0900,Introduction to Linguistics,25,0,,,,,
1232,Cancelled,LIN, 101,1000,Introduction to Linguistics,25,0,,,,,
1232,Active,LIN, 101,1200,Introduction to Linguistics,25,10,TuF,12:00PM,01:15PM,OL-03,"Wiseman,Cynthia S"
1232,Cancelled,LIN, 101,1201,Introduction to Linguistics,25,0,,,,,
1232,Active,LIN, 110,051W,The Structure of English,25,23,,,,OL-02,"Grasso,John"
1232,Cancelled,LIN, 130,0500,Sounds of English,25,0,,,,,
1232,Active,LIN, 140,100W,World/Global Englishes,15,8,TuF,10:00AM,11:15AM,MC-N582,"Grasso,John"
1232,Cancelled,LIN, 140,500W,World/Global Englishes,19,0,,,,,
1232,Active,LIN, 150,0500,"Lang, Race, and Ethn in the US",25,25,,,,OL-02,"Grasso,John"
1232,Active,LIN, 150,0501,"Lang, Race, and Ethn in the US",25,19,,,,OL-02,"Delfino,Jennifer"
1232,Cancelled,LIN, 150,0900,"Lang, Race, and Ethn in the US",20,0,,,,,
1232,Cancelled,LIN, 150,1000,"Lang, Race, and Ethn in the US",25,0,,,,,
1232,Cancelled,LIN, 150,1001,"Lang, Race, and Ethn in the US",20,0,,,,,
1232,Active,LIN, 150,1100,"Lang, Race, and Ethn in the US",15,9,W,11:00AM,01:45PM,OL-03,"Delfino,Jennifer"
1232,Active,LIN, 150,1200,"Lang, Race, and Ethn in the US",25,12,TuF,12:00PM,01:15PM,OL-03,"Delfino,Jennifer"
1232,Cancelled,LIN, 150,1300,"Lang, Race, and Ethn in the US",22,0,,,,,
1232,Cancelled,LIN, 150,1500,"Lang, Race, and Ethn in the US",25,0,,,,,
1232,Cancelled,LIN, 150,1600,"Lang, Race, and Ethn in the US",25,0,,,,,
1232,Cancelled,LIN, 150,1601,"Lang, Race, and Ethn in the US",25,0,,,,,
1232,Active,LIN, 150,1602,"Lang, Race, and Ethn in the US",25,11,W,04:00PM,06:45PM,OL-03,"Voorhees,Terry"
1232,Active,LIN, 150,170W,"Lang, Race, and Ethn in the US",19,10,Tu,05:20PM,08:00PM,MC-N472,"Voorhees,Terry"
1232,Active,LIN, 150,500W,"Lang, Race, and Ethn in the US",25,16,F,12:00PM,01:15PM,MC-N450,"Grasso,John"
1232,Active,LIN, 150,500W,"Lang, Race, and Ethn in the US",25,16,,,,OL-02,
